Date,Amount,Description,Category
2026-01-04,606.82,Electricity charges,Bills
2026-01-05,1384.99,Bread and dairy,Groceries
2026-01-07,398.71,Weekly grocery haul,Groceries
2026-01-07,1866.37,Zara jacket,Shopping
2026-01-07,2280.17,Property tax,Bills
2026-01-08,111.17,Flight ticket,Travel
2026-01-10,1148.93,Electricity bill payment,Bills
2026-01-10,364.44,Auto rickshaw,Travel
2026-01-14,1382.31,Internet bill,Bills
2026-01-16,202.45,Book purchase,Other
2026-01-19,667.52,Watch purchase,Shopping
2026-01-19,68.73,Auto rickshaw,Travel
2026-01-19,3813.92,Mobile phone bill,Bills
2026-01-20,329.59,Train ticket,Travel
2026-01-22,827.57,Zara jacket,Shopping
2026-01-24,319.37,Pharmacy - medicines,Health
2026-01-25,348.24,Gaming subscription,Entertainment
2026-01-25,944.33,Netflix subscription,Entertainment
2026-01-28,131.04,Taxi ride,Travel
2026-01-29,121.56,Home decoration,Other
2026-02-01,1321.72,Sunglasses,Shopping
2026-02-01,236.82,Stationery items,Other
2026-02-07,1908.46,Health insurance,Health
2026-02-07,652.59,Personal care items,Other
2026-02-08,296.58,Bus ticket,Travel
2026-02-14,453.65,Stationery items,Other
2026-02-16,355.37,Domino's Pizza,Food
2026-02-18,978.29,Book purchase,Other
2026-02-18,237.13,Farmer's market,Groceries
2026-02-21,428.7,Parking fee,Travel
2026-02-21,351.29,Pizza Hut order,Food
2026-02-22,440.07,Weekly grocery haul,Groceries
2026-02-23,1848.33,Hospital bill,Health
2026-02-24,725.83,Gaming console purchase,Entertainment
2026-03-02,388.25,Prime Video membership,Entertainment
2026-03-02,268.73,Laundry service,Other
2026-03-03,664.07,Disney+ subscription,Entertainment
2026-03-03,377.06,Zara jacket,Shopping
2026-03-07,870.09,Prime Video membership,Entertainment
2026-03-07,1080.36,Milk delivery,Groceries
2026-03-09,371.49,Taxi ride,Travel
2026-03-11,2611.35,Adidas apparel,Shopping
2026-03-11,464.62,Cafe coffee,Food
2026-03-12,405.42,Veggie market,Groceries
