Date,Amount,Description,Category
2026-01-04,606.82,electricity charges,Bills
2026-01-05,1384.99,bread and dairy,Groceries
2026-01-07,398.71,weekly grocery haul,Groceries
2026-01-07,1866.37,zara jacket,Shopping
2026-01-07,2280.17,property tax,Bills
2026-01-08,111.17,flight ticket,Travel
2026-01-10,1148.93,electricity bill payment,Bills
2026-01-10,364.44,auto rickshaw,Travel
2026-01-14,1382.31,internet bill,Bills
2026-01-16,202.45,book purchase,Other
2026-01-19,667.52,watch purchase,Shopping
2026-01-19,68.73,auto rickshaw,Travel
2026-01-19,3813.92,mobile phone bill,Bills
2026-01-20,329.59,train ticket,Travel
2026-01-22,827.57,zara jacket,Shopping
2026-01-24,319.37,pharmacy medicines,Health
2026-01-25,348.24,gaming subscription,Entertainment
2026-01-25,944.33,netflix subscription,Entertainment
2026-01-28,131.04,taxi ride,Travel
2026-01-29,121.56,home decoration,Other
2026-02-01,1321.72,sunglasses,Shopping
2026-02-01,236.82,stationery items,Other
2026-02-07,1908.46,health insurance,Health
2026-02-07,652.59,personal care items,Other
2026-02-08,296.58,bus ticket,Travel
2026-02-14,453.65,stationery items,Other
2026-02-16,355.37,dominos pizza,Food
2026-02-18,978.29,book purchase,Other
2026-02-18,237.13,farmers market,Groceries
2026-02-21,428.7,parking fee,Travel
2026-02-21,351.29,pizza hut order,Food
2026-02-22,440.07,weekly grocery haul,Groceries
2026-02-23,1848.33,hospital bill,Health
2026-02-24,725.83,gaming console purchase,Entertainment
2026-03-02,388.25,prime video membership,Entertainment
2026-03-02,268.73,laundry service,Other
2026-03-03,664.07,disney subscription,Entertainment
2026-03-03,377.06,zara jacket,Shopping
2026-03-07,870.09,prime video membership,Entertainment
2026-03-07,1080.36,milk delivery,Groceries
2026-03-09,371.49,taxi ride,Travel
2026-03-11,2611.35,adidas apparel,Shopping
2026-03-11,464.62,cafe coffee,Food
2026-03-12,405.42,veggie market,Groceries
2026-03-13,647.53,spotify premium,Entertainment
2026-03-15,395.15,farmers market,Groceries
